Drug Name	Disease Name
Quercetin	Acute Kidney Injury|Neoplasms|Liver Neoplasms, Experimental|Hepatomegaly|Cardiomyopathies|Inflammation|Glioblastoma|Flushing|Neoplasm Metastasis|Cartilage Diseases|Anemia, Hemolytic|Urinary Bladder Neoplasms|Lung Neoplasms|Fibrosis|Myocardial Infarction|Stomach Neoplasms|Dyskinesia, Drug-Induced|Oligospermia|Cardiomegaly|Esophagitis, Peptic|Liver Neoplasms|Breast Neoplasms|Cystitis|Insulin Resistance|Prostatic Neoplasms|Precancerous Conditions|Carcinoma, Pancreatic Ductal|Mitochondrial Diseases|Weight Gain|Necrosis|Memory Disorders|Neoplasms, Experimental|Cardiomyopathy, Hypertrophic|Colorectal Neoplasms|Liver Cirrhosis, Experimental|Autoimmune Diseases|Diabetes Mellitus, Experimental|Kidney Diseases|Cadmium Poisoning|Influenza, Human|Neurogenic Inflammation|Hyperalgesia|Cell Transformation, Neoplastic|Drug-Induced Liver Injury|Schistosomiasis japonica|Poisoning|Obesity|Catalepsy|Dyslipidemias|Glioma|Chromosome Breakage|Hyperlipidemias|Edema|Nerve Degeneration|Lead Poisoning, Nervous System|Carcinoma, Hepatocellular|Chromosome Aberrations|Ovarian Neoplasms|Colonic Neoplasms|Liver Diseases|Hypertension|Keloid|Hemolysis|Myocardial Reperfusion Injury|Osteoporosis, Postmenopausal|Hyperglycemia|Fatty Liver|Ataxia Telangiectasia
tesaglitazar	Diabetes Mellitus, Experimental|Hyperglycemia|Insulin Resistance|Cardiovascular Diseases|Hypertriglyceridemia
Sodium Bicarbonate	Seizures|Acute Kidney Injury|Acidosis|Gas Poisoning|Hyperkalemia|Hypotension|Nervous System Diseases|Nephrocalcinosis|Urinary Bladder Neoplasms|Urinary Bladder Calculi|Pain|Confusion|Tachycardia, Ventricular|Meniere Disease|Acid-Base Imbalance|Drug-Related Side Effects and Adverse Reactions|Bradycardia|Organophosphate Poisoning|Neuroleptic Malignant Syndrome|Consciousness Disorders|Kidney Diseases|Renal Insufficiency|Sjogren's Syndrome|Ventricular Dysfunction, Left|Arrhythmias, Cardiac|Kidney Failure, Chronic|Fanconi Syndrome|Dyspareunia|Torsades de Pointes|Ventricular Dysfunction|Dyspnea|Heart Diseases
malic acid	Drug Overdose
cinnamic acid	Melanoma|Kidney Diseases|Coxsackievirus Infections
dihydrolipoic acid	Inflammation
Dihydroergocryptine	Vertigo|Nystagmus, Pathologic|Catalepsy
CPS 11	Multiple Myeloma
amyrone	Kidney Diseases|Lung Injury|Drug-Induced Liver Injury
K.H.3	Learning Disorders|Muscle Weakness|Urinary Incontinence
Ethylenediamines	Arrhythmias, Cardiac
7,7'-dimethoxy-(4,4'-bi-1,3-benzodioxole)-5,5'-dicarboxylic acid dimethyl ester	Hepatitis B
Tilidine	Pain
Maisto's Paste	Tooth Diseases|Dental Caries|Bacterial Infections|Dental Pulp Necrosis|Periodontal Abscess
Amifostine	Acute Kidney Injury|Thrombocytopenia|Lymphoma, Non-Hodgkin|Gastrointestinal Diseases|Paresthesia|Diarrhea|Leukemia, Myelomonocytic, Chronic|Cardiomyopathies|Anemia, Sideroblastic|Dyspnea|Stomach Diseases|Mucositis|Esophagitis|Hearing Loss|Alopecia|Vomiting|Radiation Injuries|Breast Neoplasms|Cystitis|Drug-Related Side Effects and Adverse Reactions|Bone Marrow Diseases|Necrosis|Lymphoma, Mantle-Cell|Carcinoma, Non-Small-Cell Lung|Esophageal Neoplasms|Extravasation of Diagnostic and Therapeutic Materials|Kidney Diseases|Renal Insufficiency|Hepatic Veno-Occlusive Disease|Xerostomia|Pancreatic Neoplasms|Cataract|Anemia, Refractory, with Excess of Blasts|Acute Lung Injury|Hemorrhage|Heart Diseases|Neurotoxicity Syndromes|Head and Neck Neoplasms
norgestimate	Acne Vulgaris
Nafronyl	Amnesia|Memory Disorders
Biguanides	Diabetes Mellitus, Experimental
ginkgolide B	Hypertension, Portal|Hypotension|Proteinuria|Nerve Degeneration|Urinary Bladder Diseases|Bradycardia|Heart Arrest
ginkgolide A	Nerve Degeneration
16,16-Dimethylprostaglandin E2	Necrosis|Duodenal Ulcer|Carbon Tetrachloride Poisoning|Stomach Ulcer|Drug-Induced Liver Injury
crocin	Hypotension|Hyperlipidemias|Cardiomegaly|Kidney Diseases|Atherosclerosis|Inflammation|Ulcer|Parkinsonian Disorders|Necrosis
cyprodime	Dyskinesia, Drug-Induced
digalloylresveratrol	Pancreatic Neoplasms
Lypressin	Learning Disorders
Azithromycin	Impetigo|Reperfusion Injury|Pneumonia, Bacterial|Diarrhea|Streptococcal Infections|Leukocytosis|Haemophilus Infections|Pneumococcal Infections|Vomiting|Community-Acquired Infections|Blindness|Rosacea|Respiratory Tract Infections|Abdominal Pain|Bronchitis, Chronic|Influenza, Human|Gonorrhea|Mycobacterium Infections|Otitis Media|Pneumonia|Chlamydia Infections|Moraxellaceae Infections|Erythema Chronicum Migrans|Typhus, Endemic Flea-Borne|Inflammation
6-methyl-2-(4-(naphthylpiperazin-1-yl)butyl)-3-(2H)-pyridazinone	Tremor|Catalepsy
Penicillin G Procaine	Streptococcal Infections|Pneumonia, Bacterial|Endocarditis, Bacterial|Gonorrhea
mithramycin A	Neoplasm Invasiveness|Testicular Neoplasms|Neoplasms|Hypercalcemia|Neurodegenerative Diseases
perphenazine GABA ester	Hyperkinesis|Dyskinesias
testosterone enanthate	Testicular Diseases|Hypogonadism|Erectile Dysfunction|HIV Wasting Syndrome
Propranolol	Esophageal and Gastric Varices|Substance Withdrawal Syndrome|Acute Kidney Injury|Infant, Newborn, Diseases|Wolff-Parkinson-White Syndrome|Myocardial Reperfusion Injury|Tachycardia|Long QT Syndrome|Apnea|Tachycardia, Ventricular|Arrhythmias, Cardiac|Pancytopenia|Cocaine-Related Disorders|Coronary Stenosis|Myocardial Infarction|Cardiomyopathy, Hypertrophic|Hypotension|Atrial Fibrillation|Hyperkinesis|Stomach Ulcer|Cardiac Output, High|Ascites|Aphasia, Broca|Ventricular Outflow Obstruction|Hepatomegaly|Atrial Flutter|Movement Disorders|Hyperemia|Tachycardia, Sinus|Hypokalemia|Ventricular Fibrillation|Hypertension, Pulmonary|Tremor|Tachycardia, Supraventricular|Hyperthyroidism|Angina Pectoris|Angina, Stable|Psychomotor Agitation|Liver Neoplasms|Bradycardia|Serotonin Syndrome|Hypertension, Portal|Anomia|Gastrointestinal Hemorrhage|Postural Orthostatic Tachycardia Syndrome|Liver Diseases|Hypertension|Hyperglycemia|Migraine Disorders|Ventricular Dysfunction, Left|Seizures|Thrombocytopenia|Syncope|Torsades de Pointes|Ventricular Remodeling|Myoclonus|Coronary Artery Disease|Pain|Cerebellar Ataxia|Restless Legs Syndrome|Polyarteritis Nodosa|Coronary Disease|Essential Tremor|Neuroleptic Malignant Syndrome|Necrosis|Liver Cirrhosis|Parkinson Disease|Muscle Rigidity|Hemorrhage|Migraine with Aura|Hearing Loss, Sensorineural|Hypercalcemia|Psychophysiologic Disorders|Tachycardia, Paroxysmal|Reperfusion Injury|Asthma|Postoperative Complications|Polyploidy|Cardiomyopathies|Akathisia, Drug-Induced|Graves Disease|Ventricular Premature Complexes|Thyrotoxicosis|Dyskinesia, Drug-Induced|Atrioventricular Block|Heart Failure|Cardiomegaly|Myocardial Ischemia|Hypertension, Malignant|Drug-Related Side Effects and Adverse Reactions|Reflex, Abnormal|Alcohol Withdrawal Delirium|Porphyrias|Aneurysm|Catalepsy|Autonomic Nervous System Diseases|Hemangioma|Basal Ganglia Diseases
usnic acid	Neoplasms|Inflammation|Stomach Ulcer
traxoprodil mesylate	Seizures|Dyskinesia, Drug-Induced|Dyskinesias|Catalepsy
CC-8490	Glioma|Neoplasms, Experimental
Fluorides	Calcinosis|Hemolysis
7-(2-amino-1-oxo-3-thio-propyl)-8-cyclohexylmethyl-2-phenyl-5,6,7,8-tetrahydro-imidazo-(1,2a)-pyrazine dimer, hydrochloride	Hyperalgesia|Pain
Botulinum Toxins	Alien Hand Syndrome|Esophageal Motility Disorders|Laryngeal Diseases|Hemifacial Spasm|Chest Pain|Urinary Bladder, Overactive|Dystonia|Bruxism
mulberrofuran G	Neoplasms, Experimental
cicloprolol	Tachycardia
Benzyl Alcohol	Arrhythmias, Cardiac
Migril	Migraine Disorders
antrafenine	Osteoarthritis|Pain|Rheumatic Diseases|Edema
Fibrinolytic Agents	Infarction, Middle Cerebral Artery|Hemoglobinuria, Paroxysmal|Pericarditis|Vertebrobasilar Insufficiency|Thrombosis|Kidney Diseases|Necrosis|Acute Coronary Syndrome|Venous Thrombosis|Chest Pain|Pulmonary Embolism|Infarction|Myocardial Infarction|Intracranial Thrombosis|Intracranial Hemorrhages
polyhexamethylene biguanide	Acanthamoeba Keratitis
HCT 3012	Arthritis
fotemustine	Melanoma|Glioma|Glioblastoma
IA 4	Schistosomiasis mansoni
SUN 9216	Myocardial Infarction
4-cyano-4-(2,3-dihydro-8-methoxy-1,4-benzodioxin-5-yl)cyclohexanecarboxylic acid	Dermatitis
dimethophrine	Hypotension, Orthostatic
PT-100 dipeptide	Hyperglycemia
ALHR88 protocol	Precursor Cell Lymphoblastic Leukemia-Lymphoma
imidazolium-bis(imidazole)dimethylsulfoxideimidazotetrachlororuthenate(III)	Neoplasms
methixene	Parkinson Disease, Secondary
Chlorhexidine	Acanthamoeba Keratitis|Dental Plaque|Dental Caries|Tooth Demineralization|Periodontitis
Azlocillin	Serratia Infections|Malaria, Falciparum|Endocarditis, Bacterial|Infection
Nitrites	Diabetic Nephropathies
lovastatin-niacin combination	Hyperlipoproteinemias|Hypoalphalipoproteinemias|Hyperlipidemias|Dyslipidemias|Hypertriglyceridemia
amurensin G	Atherosclerosis
levodopa methyl ester	Parkinsonian Disorders
ATL 146e	Reperfusion Injury
Immunotoxins	Lymphoma, AIDS-Related
6-hydroxydopa	Catalepsy
Benzocaine	Pharyngitis|Pain
Arachidonic Acid	Neural Tube Defects|Thrombosis|Abnormalities, Drug-Induced|Craniofacial Abnormalities
F 13640	Pain
resveratrol	Acute Kidney Injury|Edema, Cardiac|Arsenic Poisoning|Fanconi Anemia|Tongue Neoplasms|Hematoma|Cholestasis|Encephalomyelitis, Autoimmune, Experimental|Vasospasm, Intracranial|Pituitary Neoplasms|Infarction, Middle Cerebral Artery|Osteoporosis, Postmenopausal|Macular Degeneration|Brain Injuries|Choroidal Neovascularization|Carcinoma, Lewis Lung|HIV Infections|Obesity|Fetal Growth Retardation|Leukemia, Myeloid, Acute|Amyotrophic Lateral Sclerosis|Shock, Hemorrhagic|Cardiovascular Diseases|Glomerulonephritis, IGA|Osteoarthritis, Knee|Teratoma|Precancerous Conditions|Osteoporosis|Myocardial Infarction|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Ischemic Attack, Transient|Ovarian Neoplasms|Prolactinoma|Esophageal Neoplasms|Uterine Cervical Neoplasms|Myocarditis|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Prostatic Neoplasms|Wallerian Degeneration|Multiple Myeloma|Bone Resorption|Diabetic Neuropathies|Pancreatitis|Cell Transformation, Neoplastic|Diabetes Mellitus|Infertility, Female|Precursor B-Cell Lymphoblastic Leukemia-Lymphoma|Anoxia|Weight Gain|Pancreatic Neoplasms|Diabetes Complications|Albuminuria|Neurogenic Inflammation|Sepsis|Skin Neoplasms|Friedreich Ataxia|Anaphylaxis|Diabetic Cardiomyopathies|Arthritis, Rheumatoid|Anemia|Hypertensive Encephalopathy|Leukemia-Lymphoma, Adult T-Cell|Seizures|Prenatal Exposure Delayed Effects|Colonic Polyps|Aging, Premature|Ventricular Remodeling|Hepatitis|Movement Disorders|Kidney Calculi|Liver Diseases, Alcoholic|Neurodegenerative Diseases|Lymphoproliferative Disorders|Diabetic Retinopathy|Ischemia|Liver Cirrhosis, Experimental|Neovascularization, Pathologic|Renal Insufficiency, Chronic|Colonic Neoplasms|Hypertriglyceridemia|Adenoma|Uterine Neoplasms|Carcinoma|Carcinoma, Non-Small-Cell Lung|Carotid Artery Injuries|Hypertension, Pulmonary|Mitochondrial Diseases|Hyperinsulinism|Memory Disorders|Wounds and Injuries|Mammary Neoplasms, Animal|Hyperthyroidism|Metabolic Diseases|Peritonitis|Lymphatic Diseases|Ventricular Dysfunction, Left|Drug-Induced Liver Injury|Subarachnoid Hemorrhage|Hepatomegaly|Endometriosis|Liver Neoplasms|Bradycardia|Ventricular Dysfunction, Right|Hypertrophy, Right Ventricular|Hypothermia|Alzheimer Disease|Edema|Nerve Degeneration|Neoplasms|Carcinoma, Hepatocellular|Liver Diseases|Hypertension|Muscular Atrophy, Spinal|Herpes Simplex|Hemorrhage|Fatty Liver|Fish Diseases|Neurotoxicity Syndromes|Arthritis, Experimental|Death|Melanoma|Brain Ischemia|Huntington Disease|Opioid-Related Disorders|Lens Diseases|Hypertrophy, Left Ventricular|Leukemia, Lymphoid|Waldenstrom Macroglobulinemia|Hyperamylasemia|Inflammation|Pulmonary Disease, Chronic Obstructive|Neoplasm Metastasis|Lymphoma, Non-Hodgkin|Coronary Artery Disease|Fibrosis|Leukemia, Monocytic, Acute|Leukemia, T-Cell|Carcinoma, Merkel Cell|Atherosclerosis|Fatty Liver, Alcoholic|Respiratory Tract Diseases|Breast Neoplasms|Osteoarthritis|Erectile Dysfunction|Progeria|Coronary Disease|Pulmonary Fibrosis|Colitis|Muscular Atrophy|Brain Infarction|Colorectal Neoplasms|Hyperplasia|Leukemia, Promyelocytic, Acute|Werner Syndrome|Carcinoma, Renal Cell|Diabetes Mellitus, Experimental|Kidney Diseases|Carcinoma, Ductal|Influenza, Human|Parkinson Disease, Secondary|Liver Cirrhosis|Aberrant Crypt Foci|Pre-Eclampsia|Aortic Aneurysm, Abdominal|Food Hypersensitivity|beta-Thalassemia|Adenomatous Polyposis Coli|Hyperlipidemias|Hypercholesterolemia|Disease Progression|Keloid|Acute Lung Injury|Substance-Related Disorders|Infertility, Male|Lymphoma, B-Cell|Neoplasms, Experimental|Mammary Neoplasms, Experimental|Neoplasm Invasiveness|Wasting Syndrome|Reperfusion Injury|Asthma|Liver Neoplasms, Experimental|Diabetic Nephropathies|Respiratory Syncytial Virus Infections|Sezary Syndrome|Pulmonary Edema|Diabetic Angiopathies|Cardiomyopathies|Adenocarcinoma|Cerebral Infarction|Parkinsonian Disorders|Cartilage Diseases|Colitis, Ulcerative|Stomach Neoplasms|Hearing Loss, Noise-Induced|Enterocolitis, Necrotizing|Heart Failure|Cardiomegaly|Lung Diseases|Hyperalgesia|Insulin Resistance|Fatigue|Drug-Related Side Effects and Adverse Reactions|Retinal Neovascularization|Ventricular Dysfunction|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Glucose Intolerance|Retinal Diseases|Intervertebral Disc Degeneration|Weight Loss|Hepatitis C|Schistosomiasis japonica|Carcinoma, Squamous Cell|Hypertrophy|Hyperglycemia|Dyslipidemias|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Glioma|Epstein-Barr Virus Infections|Glioblastoma|Stroke|Embolism and Thrombosis|Myocardial Reperfusion Injury|Heart Diseases|Head and Neck Neoplasms
Tretinoin	Neoplasm Invasiveness|Vitiligo|Asthma|Pterygium|Melanoma|Prenatal Exposure Delayed Effects|Tachycardia, Ventricular|Intestinal Diseases|Blood Coagulation Disorders|Glomerulosclerosis, Focal Segmental|Ventricular Fibrillation|Myelodysplastic Syndromes|Bronchopulmonary Dysplasia|Acne Vulgaris|Wilms Tumor|Neoplasm Metastasis|Leukemia, Promyelocytic, Acute|Keratosis, Actinic|Coronary Artery Disease|Fibrosis|Endometrial Neoplasms|Psoriasis|Hearing Loss, Noise-Induced|Carcinoma, Embryonal|Tongue Neoplasms|Pain|Alopecia|Thyroid Neoplasms|Peripheral Nervous System Diseases|Leukemia|Xeroderma Pigmentosum|Lung Diseases|Breast Neoplasms|Hyperalgesia|Choriocarcinoma|Tuberculosis|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Skin Abnormalities|Ovarian Neoplasms|Colitis|Neoplasms, Experimental|Lichen Planus, Oral|Plasmacytoma|Hyperpigmentation|Liver Cirrhosis, Experimental|Leukemia, Myeloid|Necrosis|Rhabdomyosarcoma|Lentigo|Medulloblastoma|Multiple Myeloma|Carcinoma, Squamous Cell|Barrett Esophagus|Catalepsy|Pancreatic Neoplasms|Cataract|Hypereosinophilic Syndrome|Hemorrhagic Disorders|Edema|Skin Diseases|Cervical Intraepithelial Neoplasia|Neoplasms|Carcinoma, Hepatocellular|Glioblastoma|Skin Neoplasms|Leukemia, Myeloid, Acute|Stomach Neoplasms|Proteinuria|Neoplasm Recurrence, Local|Uterine Cervical Neoplasms|Mammary Neoplasms, Experimental|Arthritis, Rheumatoid|Head and Neck Neoplasms|Uveal Neoplasms|Eye Abnormalities|Arthritis, Experimental
6,6-dimethyl-2-phenylethynyl-7,8-dihydro-6H-quinolin-5-one	Dyskinesia, Drug-Induced|Pain
saccharic acid-1,4-lactone	Weight Loss
ceftobiprole	Staphylococcal Infections
landiolol	Atrial Fibrillation|Arrhythmias, Cardiac
Nimorazole	Sarcoma, Experimental
ginsenoside Re	Substance Withdrawal Syndrome|Reperfusion Injury|Neurogenic Inflammation|Toxoplasmosis|Edema|Pruritus|Diabetes Mellitus, Experimental|Candidiasis|Vomiting|Hyperalgesia|Insulin Resistance|Inflammation|Parkinsonian Disorders|Myocardial Infarction|Hyperglycemia|Brain Ischemia|Colitis|Diabetes Mellitus, Type 2
Estradiol	Seizures|Herpes Genitalis|Infarction, Middle Cerebral Artery|Hot Flashes|Diabetic Nephropathies|Pre-Eclampsia|Learning Disorders|Encephalomyelitis, Autoimmune, Experimental|Vasospasm, Intracranial|Disseminated Intravascular Coagulation|Tibial Fractures|Fetal Death|Adenocarcinoma|Amnesia|Brain Injuries|Nervous System Diseases|Coronary Artery Disease|Liver Cirrhosis, Experimental|Pain|Alopecia|Myocardial Reperfusion Injury|Osteoporosis, Postmenopausal|Atherosclerosis|Tachycardia, Ventricular|Lung Diseases|Breast Neoplasms|Insulin Resistance|Prostatic Neoplasms|Atrophy|Myocardial Infarction|Weight Gain|Necrosis|Memory Disorders|Glucose Intolerance|Kidney Diseases|Vaginal Diseases|Medulloblastoma|Drug-Induced Liver Injury|Parkinson Disease|Demyelinating Diseases|Catalepsy|Ovarian Diseases|Nerve Degeneration|Carcinoma, Hepatocellular|Chromosome Aberrations|Dysuria|Manganese Poisoning|Hyperglycemia|Osteoporosis|Ventricular Fibrillation|Sleep Initiation and Maintenance Disorders|Mammary Neoplasms, Experimental
SRT2183	Precursor Cell Lymphoblastic Leukemia-Lymphoma
naringin	Neoplasm Invasiveness|Acute Kidney Injury|Inflammation|Gliosis|Insulin Resistance|Respiratory Hypersensitivity|Myocardial Infarction|Pulmonary Fibrosis|Cough|Necrosis|Kidney Diseases|Weight Loss|Bone Resorption|Pneumonia|Encephalomalacia|Drug-Induced Liver Injury|Dyslipidemias|Plaque, Atherosclerotic|Uterine Cervical Neoplasms|Pleurisy|Acute Lung Injury|Anaphylaxis|Dermatitis, Allergic Contact|Fatty Liver|Neurotoxicity Syndromes|Osteoporosis
Mezlocillin	Pneumonia|Pseudomonas Infections|Drug Overdose|Sepsis
binaphthyl diselenide	Drug-Induced Liver Injury
Salicylates	Arthritis, Gouty|Hypotension|Pain|Diarrhea|Osteoarthritis|Inflammation|Arthritis, Rheumatoid|Colitis, Ulcerative
Arachidonic Acids	Hypertension
dazmegrel	Reperfusion Injury|Hypertension|Proteinuria
1-(5-hydroxy-5-methylhexyl)-3-methylxanthine	Candidiasis
N-(3-oxo-3-(4-(pyridin-4-yl)piperazin-1-yl)propyl)benzo(c)(1,2,5)thiadiazole-4-sulfonamide	Seizures
pycnogenols	Acute Kidney Injury|Asthma|Diabetes Mellitus, Experimental|Kidney Diseases|Chromosome Aberrations|Cardiomyopathies|Diabetic Cardiomyopathies
GT 715	Neurotoxicity Syndromes|Brain Injuries
Nisoldipine	Acute Kidney Injury|Angina Pectoris|Heart Failure|Cardiomegaly|Thrombosis|Cardiovascular Diseases|Myocardial Ischemia|Hypertension|Angina, Stable|Myocardial Infarction|Coronary Disease|Ischemia|Ventricular Dysfunction, Left
N,N'-dicyclopentyl-2-methylsulfanyl-5-nitro-pyrimidine-4,6-diamine	Hyperkinesis|Cocaine-Related Disorders
deferiprone	beta-Thalassemia|Cardiovascular Diseases|Friedreich Ataxia|Cardiomyopathies|Ventricular Dysfunction, Left|Drug-Related Side Effects and Adverse Reactions
squamosamide	Parkinsonian Disorders
N,N-dipropyl-2-(4-methoxy-3-(2-phenylethoxy)phenyl)ethylamine monohydrochloride	Cocaine-Related Disorders
Interferons	Hepatitis C, Chronic|Hepatitis C
atrasentan	Prostatic Neoplasms|Neoplasms|Renal Insufficiency|Cardiovascular Diseases|Urinary Bladder, Overactive|Hypertension, Malignant|Urinary Retention|Nasopharyngeal Neoplasms|Hypertension|Lung Neoplasms
Rivastigmine	Alzheimer Disease|Substance-Related Disorders|Learning Disorders|Amnesia|Parkinson Disease|Delirium|Dementia|Memory Disorders
Prostaglandins, Synthetic	Ocular Hypertension
AO-8 formulation	Myocardial Infarction|Liver Diseases
OR486	Catalepsy|Catatonia
dalcetrapib	Atherosclerosis
Azacitidine	Colorectal Neoplasms|Leukemia, Myeloid, Acute|Leukemia, Myeloid|Kidney Diseases|Weight Loss|Carcinoma, Hepatocellular|Multiple Myeloma|Leukemia|Colonic Neoplasms|Mammary Neoplasms, Experimental|Myelodysplastic Syndromes|Leukemia, Myelomonocytic, Juvenile|Lung Neoplasms|Prostatic Neoplasms|Monosomy
Flumazenil	Seizures|Substance Withdrawal Syndrome|Unconsciousness|Learning Disorders|Status Epilepticus|Consciousness Disorders|Amnesia|Myoclonus|Delirium|Akathisia, Drug-Induced|Tachycardia|Hepatic Encephalopathy|Apnea|Confusion|Muscle Hypotonia|Hyperalgesia|Poisoning|Coma|Hypotension|Amnesia, Anterograde|Central Nervous System Diseases|Dystonia|Dizziness|Psychomotor Agitation|Catalepsy|Bradycardia|Epilepsy|Disorders of Excessive Somnolence|Ataxia|Snoring|Respiratory Insufficiency
N-(1-(4-(4-methoxybenzyl)-5-phenethyl-4H-1,2,4-triazol-3-yl)-2-(1H-indol-3-yl)ethyl)-2-aminoacetamide	Alcoholism
arotinolol	Tachycardia
phaclofen	Ataxia|Penile Diseases|Neurologic Manifestations|Hypothermia
methylamine	Paralysis
2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline	Seizures|Substance Withdrawal Syndrome|Pain|Edema|Hyperkinesis|Cocaine-Related Disorders|Nerve Degeneration|Essential Tremor|Brain Ischemia
roxindole	Parkinson Disease|Movement Disorders|Dyskinesias|Catalepsy
maraviroc	HIV Infections
lopinavir-ritonavir drug combination	HIV Infections|Acquired Immunodeficiency Syndrome|Myelitis
palonosetron	Vomiting|Nausea
Chlormethiazole	Nervous System Diseases|Seizures|Substance Withdrawal Syndrome|Epilepsy, Tonic-Clonic|Fatty Liver, Alcoholic|Status Epilepticus|Alcohol Withdrawal Seizures|Amphetamine-Related Disorders|Cocaine-Related Disorders|Drug-Related Side Effects and Adverse Reactions|Drug-Induced Liver Injury|Liver Diseases, Alcoholic|Fatty Liver|Sleep Initiation and Maintenance Disorders
UCF 101	Diabetic Angiopathies|Hyperglycemia|Diabetic Cardiomyopathies
bis(4-hydroxycinnamoyl)methane	Neoplasm Invasiveness|Stomach Ulcer|Alzheimer Disease|Edema
Carbazoles	Enterovirus Infections
